,Opponent,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF,TEAM,GP,OREB,OPP OREB,REB,OPP REB,POSS,OPP POSS,PTS,OPP PTS,PPP,OPP PPP,3PA%,OPP 3PA%,FTA%,OPP FTA%,DREB,OPP DREB,ORB%,OPP ORB%,DRB%,OPP DRB%,REB%,OPP REB%,TO%,OPP TO%,Margin,Unnamed: 0,Logo,FinalFour
531,BYU,L,80,83,23,60,0.383,10,27,0.37,24,32,0.75,4,27,18,6,5,13,21,30,67,0.448,7,24,0.292,16,23,0.696,14,48,21,8,6,19,28,Creighton Bluejays,37,4,14,27,48,79.7568,78.8352,80,83,1.0030492697801316,1.05282919305082,45.0,35.82089552238806,53.333333333333336,34.32835820895522,23,34,10.526315789473685,37.83783783783784,62.16216216216216,89.47368421052632,36.0,64.0,16.29955063392714,24.100909238512745,-3,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
532,Arizona State,L,71,73,23,62,0.371,11,27,0.407,14,19,0.737,10,35,16,4,6,7,17,27,64,0.422,11,24,0.458,8,15,0.533,12,42,13,3,3,9,21,Creighton Bluejays,37,10,12,35,42,64.6656,64.89599999999999,71,73,1.0979562549485353,1.1248767258382646,43.54838709677419,37.5,30.64516129032258,23.4375,25,30,25.0,32.432432432432435,67.56756756756756,75.0,45.45454545454545,54.54545454545455,10.824920823436264,13.868343195266275,-2,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
533,Marquette,L,58,69,25,54,0.463,4,20,0.2,4,5,0.8,3,34,15,6,6,16,14,27,60,0.45,6,21,0.286,9,14,0.643,3,28,13,10,3,10,9,Creighton Bluejays,37,3,3,34,28,66.432,70.2336,58,69,0.8730732177263969,0.9824357572443959,37.03703703703704,35.0,9.25925925925926,23.333333333333332,31,25,10.714285714285714,8.823529411764707,91.17647058823529,89.28571428571429,54.83870967741935,45.16129032258065,24.084778420038536,14.238199380353564,-11,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
534,Butler,W,78,56,28,50,0.56,8,16,0.5,14,20,0.7,8,37,19,6,8,14,10,24,57,0.421,2,12,0.167,6,7,0.857,4,18,8,6,2,9,17,Creighton Bluejays,37,8,4,37,18,62.208,62.4768,78,56,1.253858024691358,0.8963327187051834,32.0,21.05263157894737,40.0,12.280701754385966,29,14,36.36363636363637,12.121212121212121,87.87878787878788,63.63636363636363,67.27272727272727,32.72727272727273,22.505144032921812,14.405347264904734,22,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
535,DePaul,W,80,65,27,50,0.54,16,29,0.552,10,16,0.625,4,38,17,3,2,16,10,25,73,0.342,8,27,0.296,7,9,0.778,11,34,10,9,1,10,17,Creighton Bluejays,37,4,11,38,34,66.2784,72.9216,80,65,1.2070297412128235,0.8913682639985958,58.0,36.986301369863014,32.0,12.32876712328767,34,23,14.814814814814815,24.444444444444443,75.55555555555556,85.18518518518519,52.77777777777778,47.22222222222222,24.140594824256468,13.713357907670705,15,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
536,Seton Hall,W,83,61,29,57,0.509,11,27,0.407,14,17,0.824,7,33,22,5,9,10,16,22,60,0.367,5,19,0.263,12,14,0.857,9,29,8,3,2,12,16,Creighton Bluejays,37,7,9,33,29,64.7808,66.39359999999999,83,61,1.2812438253309624,0.9187632542895702,47.36842105263158,31.666666666666668,29.82456140350877,23.333333333333332,26,20,25.925925925925927,25.714285714285715,74.28571428571429,74.07407407407408,53.225806451612904,46.774193548387096,15.436672594348943,18.07403123192597,22,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
537,UConn,L,60,69,20,61,0.328,2,16,0.125,18,23,0.783,12,40,5,1,6,13,17,21,60,0.35,8,24,0.333,19,23,0.826,9,31,8,6,8,4,19,Creighton Bluejays,37,12,9,40,31,69.2352,62.5152,60,69,0.8666112035496394,1.1037315724815724,26.229508196721312,40.0,37.704918032786885,38.333333333333336,28,22,35.294117647058826,24.324324324324323,75.67567567567568,64.70588235294117,56.33802816901409,43.66197183098591,18.776576076908853,6.398443898443898,-9,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
538,Xavier,L,87,90,32,64,0.5,10,23,0.435,13,16,0.813,6,29,20,7,5,10,18,34,68,0.5,8,19,0.421,14,21,0.667,15,40,22,5,4,13,15,Creighton Bluejays,37,6,15,29,40,72.03840000000001,72.23039999999999,87,90,1.2076892324093815,1.246012759170654,35.9375,27.941176470588236,25.0,30.88235294117647,23,25,19.35483870967742,39.473684210526315,60.526315789473685,80.64516129032258,42.028985507246375,57.971014492753625,13.88148542999289,17.99796207690945,-3,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
539,Providence,W,73,67,26,54,0.481,3,16,0.188,18,23,0.783,4,29,13,6,5,7,15,25,65,0.385,4,19,0.211,13,15,0.867,14,43,9,4,4,11,19,Creighton Bluejays,37,4,14,29,43,64.43520000000001,65.856,73,67,1.1329211362733411,1.017371234207969,29.62962962962963,29.23076923076923,42.592592592592595,23.076923076923077,25,29,12.121212121212121,35.8974358974359,64.1025641025641,87.87878787878788,40.27777777777778,59.72222222222222,10.863627334127928,16.703109815354715,6,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
540,Butler,W,73,52,30,64,0.469,7,22,0.318,6,7,0.857,12,46,12,4,4,7,12,20,58,0.345,8,14,0.571,4,5,0.8,2,21,14,2,4,6,11,Creighton Bluejays,37,12,2,46,21,59.596799999999995,61.632,73,52,1.2248979810996565,0.843717549325026,34.375,24.137931034482758,10.9375,8.620689655172415,34,19,38.70967741935484,5.555555555555555,94.44444444444444,61.29032258064516,68.65671641791045,31.34328358208955,11.745597079037802,9.735202492211839,21,62,https://a.espncdn.com/combiner/i?img=/i/teamlogos/ncaa/500/156.png,False
